2025-03-23 16:42:25,730 - INFO - Trade Executed: {'entry_idx': 68, 'exit_idx': 399, 'type': 'SELL', 'entry_price': 0.90332, 'stop_loss': 0.90632, 'take_profit': 0.89732, 'exit_price': 0.89732, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.006000000000000005}
2025-03-23 16:42:25,789 - INFO - Trade Executed: {'entry_idx': 69, 'exit_idx': 394, 'type': 'SELL', 'entry_price': 0.90347, 'stop_loss': 0.90647, 'take_profit': 0.89747, 'exit_price': 0.89747, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.006000000000000005}
2025-03-23 16:42:25,832 - INFO - Trade Executed: {'entry_idx': 86, 'exit_idx': 204, 'type': 'SELL', 'entry_price': 0.90467, 'stop_loss': 0.9070999999999999, 'take_profit': 0.8998100000000001, 'exit_price': 0.8998100000000001, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.004859999999999864}
2025-03-23 16:42:25,875 - INFO - Trade Executed: {'entry_idx': 87, 'exit_idx': 189, 'type': 'SELL', 'entry_price': 0.90466, 'stop_loss': 0.9068799999999999, 'take_profit': 0.9002200000000002, 'exit_price': 0.9002200000000002, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0044399999999997775}
2025-03-23 16:42:25,916 - INFO - Trade Executed: {'entry_idx': 88, 'exit_idx': 199, 'type': 'SELL', 'entry_price': 0.90477, 'stop_loss': 0.907125, 'take_profit': 0.9000600000000001, 'exit_price': 0.9000600000000001, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.004709999999999881}
2025-03-23 16:42:25,966 - INFO - Trade Executed: {'entry_idx': 157, 'exit_idx': 137, 'type': 'BUY', 'entry_price': 0.90223, 'stop_loss': 0.8992899999999999, 'take_profit': 0.9049795558439901, 'exit_price': 0.8992899999999999, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0029400000000000537}
2025-03-23 16:42:26,017 - INFO - Trade Executed: {'entry_idx': 158, 'exit_idx': 270, 'type': 'BUY', 'entry_price': 0.90221, 'stop_loss': 0.89921, 'take_profit': 0.9049452691104846, 'exit_price': 0.89921, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0030000000000000027}
2025-03-23 16:42:26,067 - INFO - Trade Executed: {'entry_idx': 212, 'exit_idx': 236, 'type': 'BUY', 'entry_price': 0.90104, 'stop_loss': 0.89804, 'take_profit': 0.9042299168345552, 'exit_price': 0.89804, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0030000000000000027}
2025-03-23 16:42:26,115 - INFO - Trade Executed: {'entry_idx': 261, 'exit_idx': 29, 'type': 'BUY', 'entry_price': 0.90092, 'stop_loss': 0.89987, 'take_profit': 0.901616413937051, 'exit_price': 0.89987, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0010500000000001064}
2025-03-23 16:42:26,158 - INFO - Trade Executed: {'entry_idx': 264, 'exit_idx': 26, 'type': 'BUY', 'entry_price': 0.90086, 'stop_loss': 0.89981, 'take_profit': 0.9016423729585457, 'exit_price': 0.89981, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0010499999999999954}
2025-03-23 16:42:26,207 - INFO - Trade Executed: {'entry_idx': 276, 'exit_idx': 39, 'type': 'BUY', 'entry_price': 0.90037, 'stop_loss': 0.89905, 'take_profit': 0.901407037203622, 'exit_price': 0.901407037203622, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0010370372036220266}
2025-03-23 16:42:26,248 - INFO - Trade Executed: {'entry_idx': 328, 'exit_idx': 49, 'type': 'BUY', 'entry_price': 0.90008, 'stop_loss': 0.897635, 'take_profit': 0.9017969056010258, 'exit_price': 0.9017969056010258, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0017169056010257755}
2025-03-23 16:42:26,297 - INFO - Trade Executed: {'entry_idx': 329, 'exit_idx': 48, 'type': 'BUY', 'entry_price': 0.90017, 'stop_loss': 0.897365, 'take_profit': 0.9018487504420811, 'exit_price': 0.9018487504420811, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0016787504420811006}
2025-03-23 16:42:26,345 - INFO - Trade Executed: {'entry_idx': 360, 'exit_idx': 124, 'type': 'SELL', 'entry_price': 0.9015, 'stop_loss': 0.9042599999999998, 'take_profit': 0.8959800000000001, 'exit_price': 0.8959800000000001, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.005519999999999858}
2025-03-23 16:42:26,382 - INFO - Trade Executed: {'entry_idx': 484, 'exit_idx': 7, 'type': 'BUY', 'entry_price': 0.89637, 'stop_loss': 0.89337, 'take_profit': 0.8983091852891752, 'exit_price': 0.8983091852891752, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0019391852891752492}
2025-03-23 16:42:26,424 - INFO - Trade Executed: {'entry_idx': 485, 'exit_idx': 6, 'type': 'BUY', 'entry_price': 0.89602, 'stop_loss': 0.89302, 'take_profit': 0.8984223323100812, 'exit_price': 0.8984223323100812, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0024023323100811345}
2025-03-23 16:42:26,462 - INFO - Trade Executed: {'entry_idx': 542, 'exit_idx': 2, 'type': 'BUY', 'entry_price': 0.89706, 'stop_loss': 0.894075, 'take_profit': 0.8981304691919888, 'exit_price': 0.8981304691919888, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.001070469191988832}
2025-03-23 16:42:26,502 - INFO - Trade Executed: {'entry_idx': 617, 'exit_idx': 23, 'type': 'BUY', 'entry_price': 0.89772, 'stop_loss': 0.8957549999999999, 'take_profit': 0.8990197887766164, 'exit_price': 0.8990197887766164, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0012997887766164062}
2025-03-23 16:42:26,552 - INFO - Trade Executed: {'entry_idx': 642, 'exit_idx': 361, 'type': 'SELL', 'entry_price': 0.89941, 'stop_loss': 0.90241, 'take_profit': 0.89341, 'exit_price': 0.89341, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.006000000000000005}
2025-03-23 16:42:26,592 - INFO - Trade Executed: {'entry_idx': 700, 'exit_idx': 61, 'type': 'BUY', 'entry_price': 0.89879, 'stop_loss': 0.8960899999999999, 'take_profit': 0.9005970122303311, 'exit_price': 0.8960899999999999, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0027000000000000357}
2025-03-23 16:42:26,634 - INFO - Trade Executed: {'entry_idx': 701, 'exit_idx': 67, 'type': 'BUY', 'entry_price': 0.89861, 'stop_loss': 0.8958950000000001, 'take_profit': 0.9006917292108669, 'exit_price': 0.8958950000000001, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.002714999999999912}
2025-03-23 16:42:26,677 - INFO - Trade Executed: {'entry_idx': 702, 'exit_idx': 70, 'type': 'BUY', 'entry_price': 0.89833, 'stop_loss': 0.89533, 'take_profit': 0.9008111677509618, 'exit_price': 0.89533, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0030000000000000027}
2025-03-23 16:42:26,713 - INFO - Trade Executed: {'entry_idx': 755, 'exit_idx': 55, 'type': 'BUY', 'entry_price': 0.8965, 'stop_loss': 0.8947, 'take_profit': 0.8978038559927095, 'exit_price': 0.8947, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0017999999999999128}
2025-03-23 16:42:26,751 - INFO - Trade Executed: {'entry_idx': 756, 'exit_idx': 56, 'type': 'BUY', 'entry_price': 0.89636, 'stop_loss': 0.894515, 'take_profit': 0.8978546724503617, 'exit_price': 0.894515, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0018450000000000966}
2025-03-23 16:42:26,801 - INFO - Trade Executed: {'entry_idx': 772, 'exit_idx': 252, 'type': 'BUY', 'entry_price': 0.89542, 'stop_loss': 0.8929, 'take_profit': 0.8972308309391392, 'exit_price': 0.8929, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0025199999999999667}
